timestamp_utc,mode,level,airborne,expected,alerted,detail
2026-06-12T09:46:06+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T10:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T10:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T11:01:00+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T11:30:46+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T12:01:02+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T12:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T13:01:03+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T13:30:46+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T13:37:25+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T14:01:01+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T14:30:50+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T15:01:06+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T15:30:51+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T16:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T16:30:45+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T16:53:43+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T17:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T17:30:47+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T18:00:58+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T18:30:49+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T19:01:05+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T19:19:14+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T19:30:52+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T20:01:05+00:00,rss,,,,False,sin items (nivel < 5)
2026-06-12T20:30:59+00:00,rss,,,,False,sin items (nivel < 5)
